City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,vila franca do campo,37.7167,-25.4333,14.23,82,84,2.41,PT,2023-12-12
175,jiazi,22.8779,116.067,22.69,80,1,2.54,CN,2023-12-12
176,aktau,43.65,51.2,-10.68,86,99,11.03,KZ,2023-12-12
177,bagalkot,16.1833,75.7,19.53,56,9,3.57,IN,2023-12-12
178,prescott valley,34.5894,-112.3252,14.02,16,0,0.0,US,2023-12-12
179,san antonio de pale,-1.4014,5.6325,26.35,83,100,3.42,GQ,2023-12-12
180,vernon,50.2581,-119.2691,3.2,88,55,0.61,CA,2023-12-12
181,st. john's,47.5649,-52.7093,12.66,94,20,12.35,CA,2023-12-12
182,utrik,11.2278,169.8474,27.12,71,15,8.66,MH,2023-12-12
183,ekibastuz,51.6667,75.3667,-26.02,91,100,6.37,KZ,2023-12-12
184,kismayo,-0.3582,42.5454,26.9,80,98,4.6,SO,2023-12-12
185,luderitz,-26.6481,15.1594,18.25,53,0,8.97,NA,2023-12-12
186,ningde,26.6617,119.5228,15.9,97,100,2.35,CN,2023-12-12
187,peace river,56.2501,-117.286,-7.83,79,40,1.54,CA,2023-12-12
188,kerikeri,-35.2268,173.9474,21.62,63,11,2.24,NZ,2023-12-12
189,sur,22.5667,59.5289,22.55,63,31,0.55,OM,2023-12-12
190,hawaiian paradise park,19.5933,-154.9731,26.13,88,75,2.06,US,2023-12-12
191,beoumi,7.6736,-5.5764,25.48,49,41,1.14,CI,2023-12-12
192,lebu,-37.6167,-73.65,13.56,85,96,2.6,CL,2023-12-12
193,mount isa,-20.7333,139.5,30.87,33,1,5.66,AU,2023-12-12
194,vadso,70.0744,29.7487,-9.91,79,68,5.66,NO,2023-12-12
195,wynyard,-41.0,145.7167,18.5,72,100,3.22,AU,2023-12-12
196,watsa,3.0372,29.5355,19.36,85,35,1.03,CD,2023-12-12
197,labrador city,52.9463,-66.9114,-6.05,86,100,3.6,CA,2023-12-12
198,carutapera,-1.195,-46.02,26.31,81,68,3.46,BR,2023-12-12
199,kingston,17.997,-76.7936,28.53,74,20,9.26,JM,2023-12-12
200,invercargill,-46.4,168.35,11.62,51,44,9.31,NZ,2023-12-12
201,axim,4.8699,-2.2405,26.69,83,21,1.96,GH,2023-12-12
202,roswell,34.0232,-84.3616,6.42,65,0,3.09,US,2023-12-12
203,aquiraz,-3.9014,-38.3911,28.91,79,55,4.69,BR,2023-12-12
204,burela de cabo,43.65,-7.4,16.76,84,100,5.95,ES,2023-12-12
205,timbuktu,16.7735,-3.0074,20.81,20,0,5.21,ML,2023-12-12
206,usinsk,65.9939,57.5281,-18.2,94,100,11.99,RU,2023-12-12
207,santiago del torno,-17.9833,-63.3833,27.1,72,31,2.18,BO,2023-12-12
208,derbent,42.0678,48.2899,5.97,89,100,7.79,RU,2023-12-12
209,thinadhoo,0.5333,72.9333,27.95,74,78,1.92,MV,2023-12-12
210,linden,6.0,-58.3,24.86,84,96,1.96,GY,2023-12-12
211,la sarre,48.8002,-79.1996,-11.23,91,68,2.0,CA,2023-12-12
212,olinda,-8.0089,-34.8553,27.85,74,40,3.6,BR,2023-12-12
213,pikeville,37.4793,-82.5188,1.77,82,0,0.0,US,2023-12-12
214,ust'-kulom,61.6864,53.6902,-19.82,84,100,4.94,RU,2023-12-12
215,yellowknife,62.456,-114.3525,-25.71,76,20,3.6,CA,2023-12-12
216,calama,-22.4667,-68.9333,22.27,8,0,7.72,CL,2023-12-12
217,rio preto da eva,-2.6994,-59.6997,23.97,98,100,0.9,BR,2023-12-12
218,mil'kovo,55.6078,37.7956,-5.87,94,100,6.54,RU,2023-12-12
219,armacao de buzios,-22.7469,-41.8817,25.03,92,96,3.68,BR,2023-12-12
220,port blair,11.6667,92.75,27.02,83,40,1.03,IN,2023-12-12
221,polyarnyy,69.1989,33.4478,-14.11,93,84,5.37,RU,2023-12-12
222,nova vicosa,-17.8919,-39.3719,25.47,83,63,7.71,BR,2023-12-12
223,ponta delgada,37.7333,-25.6667,14.4,77,20,3.09,PT,2023-12-12
224,kruisfontein,-34.0033,24.7314,14.38,87,1,3.49,ZA,2023-12-12
225,belokurikha,51.9959,84.9896,-22.95,99,88,1.13,RU,2023-12-12
226,bantogon,6.5333,124.0333,27.37,71,1,0.54,PH,2023-12-12
227,bozeman,45.6796,-111.0386,1.22,86,100,3.13,US,2023-12-12
228,fonte boa,-2.4959,-66.2662,25.05,93,100,0.93,BR,2023-12-12
229,ouro preto do oeste,-10.7481,-62.2158,23.68,97,91,2.86,BR,2023-12-12
230,gunnedah,-30.9833,150.25,30.2,34,0,2.18,AU,2023-12-12
231,egilsstadir,65.2653,-14.3948,-2.05,74,100,1.54,IS,2023-12-12
232,braniewo,54.3797,19.8196,1.87,97,100,1.73,PL,2023-12-12
233,port alfred,-33.5906,26.891,16.77,96,4,0.45,ZA,2023-12-12
234,tibiri,13.5627,7.0485,16.53,36,0,5.62,NE,2023-12-12
235,college,64.8569,-147.8028,-6.03,63,100,4.63,US,2023-12-12
236,uturoa,-16.7333,-151.4333,26.86,77,90,9.16,PF,2023-12-12
237,san angelo,31.4638,-100.437,16.12,29,0,2.68,US,2023-12-12
238,rikaze,29.25,88.8833,-5.02,50,47,0.81,CN,2023-12-12
239,mandalgovi,45.7625,106.2708,-15.83,95,100,3.62,MN,2023-12-12
